P_NAME,P_HABITABLE,P_ESI,P_TYPE_COMP,P_TYPE_TEMP,P_DISTANCE_LY,P_MASS_EM,P_RADIUS,P_ORBIT_PERIOD_DAYS,P_TEMP_EQUIL_K,P_DISTANCE_STAR_AU,S_NAME,S_TYPE,S_MASS_SM,S_RADIUS,S_TEMPERATURE_K,S_LUMINOSITY
Mercury,0,0.6,Subterran,Hot,0,0.0553,0.38,88,440,0.387,Sun,G,1,1,5788,1
Venus,0,0.44,Terran,Hot,0,0.815,0.95,225,730,0.723,Sun,G,1,1,5788,1
Earth,3,1,Terran,Warm,0,1,1,365.25,288,1,Sun,G,1,1,5788,1
Mars,0,0.7,Subterran,Warm,0,0.1075,0.53,687,227,1.523,Sun,G,1,1,5788,1
Jupiter,0,0.29,Jovian,Cold,0,317.8,10.97,4333,152,5.203,Sun,G,1,1,5788,1
Saturn,0,0.25,Jovian,Cold,0,95.2,9.14,10756,134,9.538,Sun,G,1,1,5788,1
Uranus,0,0.19,Neptunian,Cold,0,14.6,3.98,30687,76,19.819,Sun,G,1,1,5788,1
Neptune,0,0.18,Neptunian,Cold,0,17.2,3.87,60190,72,30.058,Sun,G,1,1,5788,1
11 Com b,0,0.083813263,Jovian,Hot,,6165.8633,,326.03,799.44963,1.3244178,11 Com,K,2.7,19,4742,163.5468
11 UMi b,0,0.082414476,Jovian,Hot,,4684.7848,,516.21997,819.07569,1.534896,11 UMi,K,2.78,29.79,4213,250.49294
14 And b,0,0.081917127,Jovian,Hot,,1525.5744,,185.84,772.30746,0.83,14 And,G,2.2,11,4813,58.175144
14 Her b,0,0.14524062,Jovian,Cold,,1481.0785,,1773.4,131.38424,3.1305585,14 Her,K,0.9,0.93,5338,0.62917118
16 Cyg B b,0,0.36862709,Jovian,Warm,,565.73385,,798.5,202.22783,2.043792,16 Cyg B,G,1.08,1.13,5750,1.2505956
18 Del b,0,0.21617437,Jovian,Hot,,3273.6284,,993.3,396.65045,2.60832,18 Del,G,2.3,8.5,4979,39.782769
1RXS J160929.1-210524 b,0,,Jovian,Hot,,2542.624,,,,330,1RXS J160929.1-210524,K,0.85,,4060,
24 Boo b,0,0.065684936,Jovian,Hot,,289.22348,,30.3506,1613.7579,0.19016758,24 Boo,G,0.99,10.64,4893,58.139697
24 Sex b,0,0.17730446,Jovian,Hot,,632.47773,,452.8,430.60546,1.3383987,24 Sex,K,1.54,4.9,5098,14.530486
24 Sex c,0,0.2724776,Jovian,Hot,,273.33208,,883,343.04216,2.167464,24 Sex,K,1.54,4.9,5098,14.530486
2MASS J01225093-2439505 b,0,,Jovian,Hot,,7786.7861,,,,52,2MASS J01225093-2439505,M,0.4,,3530,
2MASS J02192210-3925225 b,0,0.056530021,Jovian,Cold,,4417.8092,16.1424,,5.7216666,156,2MASS J02192210-3925225,M,0.11,0.28,3064,0.006190985
2MASS J04414489+2301513 b,0,,Jovian,Hot,,2383.71,,,,15,2MASS J04414489+2301513,M,0.02,,,
2MASS J12073346-3932539 b,0,,Jovian,Hot,,1271.312,,,,46,2MASS J12073346-3932539,M,0.02,,,
